Meter S/N:, "REV_DA_16"
Sensor, Thermo, Quad, 1A365, LM-3 QHTD HD
Date, 11/20/2014 1:59:51 PM
Units, W
Timestamp, Measurement, X, Y, Sequence, Flags, Flags (interpreted), Period
23, 0.138656377792358, 0.712624430656433, -2.40618085861206, 23000010, 0, 0, 0
23.1, 0.14118193089962, 0.803181529045105, -2.5329704284668, 23100010, 0, 0, 0
23.2, 0.144364073872566, 0.944982409477234, -2.39739418029785, 23200010, 0, 0, 0
23.3, 0.147133827209473, 1.05684661865234, -2.38327789306641, 23300010, 0, 0, 0
23.4, 0.149817496538162, 1.1781622171402, -2.39322233200073, 23400010, 0, 0, 0
23.5, 0.15197266638279, 1.18917965888977, -2.40556144714355, 23500010, 0, 0, 0
23.6, 0.15372009575367, 1.22525835037231, -2.32955360412598, 23600010, 0, 0, 0
23.7, 0.155219241976738, 1.31736040115356, -2.35188722610474, 23700010, 0, 0, 0
23.8, 0.156598940491676, 1.3840411901474, -2.31740736961365, 23800010, 0, 0, 0
23.9, 0.15771073102951, 1.34102320671082, -2.34443354606628, 23900010, 0, 0, 0
24, 0.158955037593842, 1.42326962947845, -2.2623450756073, 24000010, 0, 0, 0
24.1, 0.160067304968834, 1.49387454986572, -2.23606538772583, 24100010, 0, 0, 0
24.2, 0.161240994930267, 1.54272091388702, -2.26146626472473, 24200010, 0, 0, 0
24.3, 0.160599783062935, 1.47797966003418, -2.22523546218872, 24300010, 0, 0, 0
24.4, 0.162120804190636, 1.51150119304657, -2.17977976799011, 24400010, 0, 0, 0
24.5, 0.16155244410038, 1.52272939682007, -2.21173548698425, 24500010, 0, 0, 0
24.6, 0.163139507174492, 1.49745690822601, -2.19248628616333, 24600010, 0, 0, 0
24.7, 0.163681268692017, 1.55092823505402, -2.13634252548218, 24700010, 0, 0, 0
24.8, 0.158064603805542, 1.48003768920898, -1.85309326648712, 24800010, 0, 0, 0
24.9, 0.145673304796219, 1.44482755661011, -1.40337288379669, 24900010, 0, 0, 0
25, 0.130910977721214, 1.45938098430634, -1.01615023612976, 25000010, 0, 0, 0
25.1, 0.115583382546902, 1.52076995372772, -0.623233199119568, 25100010, 0, 0, 0
25.2, 0.101867146790028, 1.41600656509399, -0.341517060995102, 25200010, 0, 0, 0
25.3, 0.0886799246072769, 1.45682787895203, -0.146816983819008, 25300010, 0, 0, 0
25.4, 0.0773400664329529, 1.48581147193909, 0.162076041102409, 25400010, 0, 0, 0
25.5, 0.0672868266701698, 1.64149212837219, 0.486850023269653, 25500010, 0, 0, 0
25.6, 0.057584322988987, 1.71002471446991, 0.762378931045532, 25600010, 0, 0, 0
25.7, 0.0490600652992725, 2.10071539878845, 1.1389753818512, 25700010, 0, 0, 0
25.8, 0.0419023036956787, 2.25101542472839, 1.37537515163422, 25800010, 0, 0, 0
25.9, 0.035213366150856, 2.49434113502502, 1.80998861789703, 25900010, 0, 0, 0
26, 0.0284697692841291, 2.720139503479, 2.437344789505, 26000010, 0, 0, 0
26.1, 0.0234473552554846, 3.1902437210083, 3.19649362564087, 26100010, 0, 0, 0
26.2, 0.019228195771575, 4.31161260604858, 3.63535213470459, 26200010, 0, 0, 0
26.3, 0.0147147793322802, 5.12768077850342, 4.90148162841797, 26300010, 0, 0, 0
26.4, 0.0104095665737987, 7.20208883285522, 7.19706249237061, 26400010, 0, 0, 0
26.5, 0.00665752030909061, 0, 0, 26500000, 0, 0, 0
26.6, 0.00313737592659891, 0, 0, 26600010, 0, 0, 0
26.7, 0.000956936681177467, 0, 0, 26700000, 0, 0, 0
26.8, -0.00208222912624478, 0, 0, 26800000, 0, 0, 0
26.9, -0.00427134754136205, 0, 0, 26900000, 0, 0, 0
27, -0.00691180117428303, 0, 0, 27000000, 0, 0, 0
27.1, -0.00897629838436842, 0, 0, 27100000, 0, 0, 0
27.2, -0.00968762673437595, 0, 0, 27200000, 0, 0, 0
27.3, -0.0121727148070931, 0, 0, 27300000, 0, 0, 0
27.4, -0.0130615653470159, 0, 0, 27400000, 0, 0, 0
27.5, -0.0151462480425835, 0, 0, 27500000, 0, 0, 0
27.6, -0.0166570208966732, 0, 0, 27600000, 0, 0, 0
27.7, -0.0175539646297693, 0, 0, 27700000, 0, 0, 0
27.8, -0.018620727583766, 0, 0, 27800000, 0, 0, 0
27.9, -0.0191402193158865, 0, 0, 27900000, 0, 0, 0
28, -0.0206401292234659, 0, 0, 28000000, 0, 0, 0
28.1, -0.0215319339185953, 0, 0, 28100000, 0, 0, 0
